id_municipio,ano,total_licencas_obras,area_total_construida
3505708,2017,107,286003.22000000003
3505708,2018,127,5205619.1499999957
3505708,2019,126,383985.33
3505708,2020,114,1015394.1800000004
3505708,2021,184,1127587.3200000005
3505708,2022,188,2726128.6900000027
3509502,2009,195,108854.54000000002
3509502,2010,241,146813.32999999996
3509502,2011,290,113709.26
3509502,2012,271,381937.91999999981
3509502,2013,383,174157.39000000007
3509502,2014,440,336851.48000000027
3509502,2015,620,37629026.290000029
3509502,2016,572,314874.62000000011
3509502,2017,714,1595069.6399999987
3509502,2018,1143,1491061.9100000013
3509502,2019,1070,1274935.47
3509502,2020,1124,2849008.8500000034
3509502,2021,1237,5845520.9699999951
3509502,2022,872,8575710.0999999885
3547809,2009,104,61072.410000000011
3547809,2010,117,53187.819999999978
3547809,2011,112,99779.61
3547809,2012,239,134262.49000000005
3547809,2013,311,231872.41999999998
3547809,2014,325,426478.93999999994
3547809,2015,506,330037.38000000018
3547809,2016,647,320589.07999999984
3547809,2017,466,934119.21999999869
3547809,2018,718,1856382.1399999994
3547809,2019,868,84525174.839999989
3547809,2020,690,700986.82999999914
3547809,2021,730,1151444.0100000007
3547809,2022,544,1711655.9599999993
3548500,2009,10,19557.249999999996
3548500,2010,14,43491.24
3548500,2011,12,2344.3
3548500,2012,20,45371.340000000004
3548500,2013,51,109425.63999999996
3548500,2014,46,96406.73
3548500,2015,48,411510.48999999987
3548500,2016,60,157804.61000000002
3548500,2017,99,1175843.1400000004
3548500,2018,188,363700.08999999991
3548500,2019,211,668880.85999999987
3548500,2020,166,1114048.54
3548500,2021,248,2588720.2699999958
3548500,2022,316,2898369.0099999988
3548708,2009,82,79071.049999999974
3548708,2010,72,100798.97
3548708,2011,83,118860.56999999996
3548708,2012,123,269411.00999999989
3548708,2013,174,31154124.249999989
3548708,2014,199,145606.63000000006
3548708,2015,330,563486.54
3548708,2016,292,128248012.56999996
3548708,2017,247,108527940.40999989
3548708,2018,272,16808085.889999978
3548708,2019,381,880461.82
3548708,2020,327,1190697.8200000005
3548708,2021,300,933534.099999999
3548708,2022,302,68297856.639999911
3549805,2009,101,29255.380000000005
3549805,2010,137,45639.099999999991
3549805,2011,145,56479.849999999969
3549805,2012,180,82847.549999999988
3549805,2013,254,378716.05999999994
3549805,2014,272,379584.21999999956
3549805,2015,333,270883.99999999994
3549805,2016,281,493554.64000000019
3549805,2017,528,609637.07999999938
3549805,2018,1157,2165480.7299999958
3549805,2019,2138,3299363.7999999993
3549805,2020,2158,2660994.8099999977
3549805,2021,2141,15493253.029999992
3549805,2022,1494,6303895.2400000151
3549904,2009,181,45979.720000000008
3549904,2010,279,123516.71999999991
3549904,2011,213,158068.03999999989
3549904,2012,451,178499.14999999985
3549904,2013,371,256088.51000000013
3549904,2014,287,281949.69000000012
3549904,2015,380,7156218.7599999886
3549904,2016,543,303607.96000000043
3549904,2017,723,345246.01000000018
3549904,2018,942,476112.49999999878
3549904,2019,1051,1576201.2200000018
3549904,2020,1248,5906494.45999999
3549904,2021,1152,675483.35999999952
3549904,2022,901,7419161.0799999814
3550308,2009,486,613173.00000000012
3550308,2010,774,824869.34000000113
3550308,2011,618,1184830569.5500011
3550308,2012,871,1616046.7100000016
3550308,2013,1374,69442504.730000108
3550308,2014,1793,3080535.8700000015
3550308,2015,1104,126373923.75000003
3550308,2016,1363,5448590.8000000045
3550308,2017,1801,1068610135.7800003
3550308,2018,3118,72505019.86999993
3550308,2019,4207,442618613.09000033
3550308,2020,5103,213552690.00999776
3550308,2021,4802,80890353.470000133
3550308,2022,5134,1080665150.4199986
4106902,2009,264,137480.88999999993
4106902,2010,396,413394.89000000025
4106902,2011,373,546305.55999999982
4106902,2012,463,386595.88000000041
4106902,2013,627,443710.55999999994
4106902,2014,730,758268.0199999992
4106902,2015,720,874713.41000000015
4106902,2016,782,701510.82000000041
4106902,2017,995,952564.35999999894
4106902,2018,1879,2035022.1199999959
4106902,2019,2477,8370427.7299999977
4106902,2020,2312,59342657.399999894
4106902,2021,2940,16582959.759999938
4106902,2022,2465,46802327.119999982
4205407,2009,47,20590.440000000006
4205407,2010,67,53521.80999999999
4205407,2011,65,134987.21
4205407,2012,76,145356.91
4205407,2013,117,558765.35999999987
4205407,2014,152,592780.23000000021
4205407,2015,150,728435.06
4205407,2016,186,349723.52999999997
4205407,2017,330,927609.62999999966
4205407,2018,472,15131704.099999994
4205407,2019,629,1524369.8699999999
4205407,2020,575,1509634.3799999997
4205407,2021,773,3795842.3200000008
4205407,2022,846,2947484.149999999
4209102,2009,174,55588.760000000031
4209102,2010,166,81780.780000000028
4209102,2011,188,82981.149999999936
4209102,2012,187,185371.83999999997
4209102,2013,163,181824.74999999994
4209102,2014,259,190337.3599999999
4209102,2015,256,297429.9600000002
4209102,2016,277,409668.06000000029
4209102,2017,504,1752168.6100000015
4209102,2018,802,1475862.8300000008
4209102,2019,1153,1740130.0200000028
4209102,2020,1240,1365505.8199999996
4209102,2021,1218,967791.01999999827
4209102,2022,1016,7961984.5399999879
4216602,2009,16,10506.669999999998
4216602,2010,31,16910.590000000004
4216602,2011,23,8615.3000000000011
4216602,2012,30,27594.48
4216602,2013,40,247408.82000000004
4216602,2014,47,657242.7
4216602,2015,54,185037.48
4216602,2016,74,153087.13
4216602,2017,77,318369.80000000005
4216602,2018,229,655912.56000000029
4216602,2019,361,384758.81000000017
4216602,2020,406,750764.51999999979
4216602,2021,498,8762667.1499999966
4216602,2022,337,713889.00999999978
4314902,2009,192,92071.68
4314902,2010,276,118876.38999999998
4314902,2011,231,123897.98999999985
4314902,2012,276,677229.15999999957
4314902,2013,364,544621.25000000047
4314902,2014,302,558450.7100000002
4314902,2015,418,82193272.029999971
4314902,2016,541,1021374.0999999994
4314902,2017,601,1514755.7500000021
4314902,2018,722,2604726.2899999982
4314902,2019,808,2349340.7799999975
