;"Brasília";"Campo Grande";"Cuiabá";"Goiânia";"Belo Horizonte";"Rio de Janeiro";"São Paulo";"Vitória";"Curitiba";"Florianópolis";"Porto Alegre";"Belém";"Boa Vista";"Macapá";"Manaus";"Palmas";"Porto Velho";"Rio Branco";"Aracaju";"Fortaleza";"João Pessoa";"Maceió";"Natal";"Recife";"Salvador";"São Luís";"Teresina";"Macaé"
"07-2012";275,58;;;258,66;288,26;290,64;299,39;290,80;268,00;266,38;299,96;259,89;;;279,06;;;;208,14;240,80;233,25;;245,17;237,66;218,78;;;254,30
"08-2012";284,50;;;263,90;286,35;302,52;306,02;298,60;280,57;295,48;308,27;262,33;;;280,81;;;;212,99;245,75;233,36;;241,14;240,79;225,23;;;269,77
"09-2012";281,87;;;250,13;295,60;297,17;309,08;300,71;280,42;310,92;311,44;262,40;;;287,82;;;;207,80;248,79;233,23;;241,28;239,53;217,71;;;262,71
"10-2012";271,55;264,22;;251,12;290,61;295,39;311,55;293,83;282,97;282,80;305,72;268,58;;;298,22;;;;206,03;255,11;232,97;;247,18;250,28;223,00;;;262,45
"11-2012";266,85;266,06;;237,92;282,82;272,10;299,26;295,31;270,84;283,68;286,83;270,22;;;284,85;;;;205,63;244,55;235,35;;246,43;248,05;220,49;;;248,96
"12-2012";275,95;268,03;;263,17;290,88;281,83;304,90;290,89;271,31;290,05;294,37;271,58;;;290,27;;;;204,06;252,78;237,85;;239,65;248,95;227,12;;;252,88
"01-2013";307,14;287,87;;287,94;299,79;303,86;318,40;315,38;285,94;309,21;309,33;280,51;;;301,73;;;;231,80;258,32;252,13;;269,56;257,43;267,65;;;275,69
"02-2013";306,39;294,32;;286,34;313,48;306,83;326,59;313,40;293,25;314,46;318,16;286,70;;;314,18;;;;238,40;276,98;270,06;;283,27;278,92;270,04;;;276,53
"03-2013";310,75;301,57;;287,78;323,97;314,99;336,26;332,24;294,78;307,37;321,95;291,86;;;328,49;;;;245,94;280,69;274,64;;279,24;280,01;281,05;;;274,27
"04-2013";309,68;295,99;;284,22;324,53;327,52;344,30;328,94;296,69;311,41;312,28;307,18;;;339,64;;;;247,72;291,08;290,96;;286,58;298,35;268,05;;;275,07
"05-2013";303,37;306,80;;293,96;314,78;321,41;342,05;325,87;297,92;306,54;323,17;308,77;;;322,98;;;;240,72;296,82;286,58;;281,67;290,94;257,98;;;277,75
"06-2013";312,09;300,48;;289,62;308,48;310,00;340,46;315,63;294,50;307,44;329,16;309,01;;;316,29;;;;248,07;292,86;285,47;;284,69;296,67;260,20;;;266,00
"07-2013";284,45;288,79;;269,34;293,48;300,71;327,44;310,73;279,66;284,03;305,91;299,07;;;310,52;;;;239,36;275,27;275,54;;271,61;279,98;259,73;;;260,66
"08-2013";286,49;289,12;;258,45;290,54;298,42;319,66;310,03;281,31;284,33;311,50;296,11;;;305,78;;;;233,19;264,38;266,20;;267,49;270,37;257,54;;;257,54
"09-2013";276,14;290,58;;257,99;295,96;295,59;312,07;301,55;283,18;281,08;311,34;292,35;;;304,33;;;;220,68;258,37;259,79;;263,80;270,43;256,16;;;257,51
"10-2013";284,12;291,11;;262,47;302,76;312,90;321,14;313,78;296,76;288,36;324,87;293,20;;;300,59;;;;222,55;260,25;254,45;;265,88;270,21;256,78;;;264,88
"11-2013";286,35;295,75;;254,44;310,84;316,88;325,56;321,41;297,71;296,07;328,72;296,05;;;307,39;;;;218,71;269,28;257,16;;271,93;268,34;259,93;;;261,70
"12-2013";289,72;301,20;;274,67;312,25;315,52;327,24;321,39;301,32;319,33;329,18;296,34;;;307,71;;;;216,78;273,47;258,81;;273,36;274,69;265,13;;;264,98
"01-2014";304,09;288,57;;273,84;306,01;310,52;323,47;327,13;294,06;322,70;321,05;296,39;;;323,22;;;;214,19;274,60;264,17;;269,95;280,75;265,86;;;269,89
"02-2014";295,23;292,09;;275,32;308,16;314,72;325,35;328,43;293,49;330,75;316,55;298,86;;;312,09;;;;225,57;269,81;255,00;;270,07;278,65;262,78;;;272,50
"03-2014";323,02;329,61;;310,04;307,18;345,11;351,46;343,70;329,55;345,63;356,17;308,45;;;308,19;;;;225,82;286,41;263,17;;271,31;280,06;272,56;;;279,12
"04-2014";331,53;330,61;;293,27;342,49;346,18;357,85;351,27;335,73;351,66;359,37;310,91;;;309,66;;;;238,04;288,42;270,15;;282,56;288,67;274,38;;;280,02
"05-2014";331,19;323,84;;296,77;345,14;348,04;366,54;352,76;341,20;350,31;366,00;315,08;;;313,12;;;;241,72;304,06;272,35;;289,07;302,81;277,52;;;285,70
"06-2014";324,07;309,09;;295,12;319,84;343,44;354,63;345,98;332,30;353,76;351,36;318,46;;;332,15;;;;247,64;298,01;281,70;;292,49;307,44;278,97;;;277,78
"07-2014";300,86;293,55;;280,93;308,35;330,22;345,42;330,71;308,66;346,99;330,69;308,37;;;326,85;;;;239,72;287,19;270,60;;277,07;296,16;270,06;;;272,82
"08-2014";297,27;288,28;;276,18;303,50;327,64;337,80;329,13;303,28;340,62;325,64;301,52;;;301,72;;;;230,52;278,68;268,87;;270,57;290,97;266,34;;;278,12
"09-2014";300,54;285,02;;279,95;303,54;326,78;333,12;328,33;301,08;340,76;327,65;298,68;;;302,49;;;;233,18;277,37;268,56;;267,39;285,18;263,63;;;278,17
"10-2014";303,28;296,22;;287,46;307,50;336,10;341,04;329,19;314,25;353,18;340,63;298,64;;;306,69;;;;232,82;277,60;266,47;;265,27;280,88;257,80;;;281,53
"11-2014";321,05;303,69;;295,79;309,56;325,91;347,96;331,34;319,26;346,61;342,62;302,28;;;311,42;;;;241,72;280,59;264,99;;258,93;274,44;255,72;;;280,99
"12-2014";329,66;308,32;;301,21;316,06;338,03;354,19;333,15;315,84;353,10;348,56;307,63;;;320,70;;;;245,70;280,39;272,02;;268,71;286,39;267,82;;;308,26
"01-2015";353,60;329,58;;323,73;337,57;353,51;371,22;348,30;335,82;360,64;361,11;310,78;;;317,84;;;;264,84;288,99;278,73;;277,56;290,43;299,17;;;326,12
"02-2015";355,70;326,43;;325,64;341,72;357,27;378,86;354,85;341,64;359,76;353,81;314,89;;;321,29;;;;264,67;292,23;286,22;;289,65;294,93;311,65;;;328,74
"03-2015";351,93;327,67;;323,48;343,22;358,68;379,35;363,62;349,69;358,14;360,01;320,02;;;337,11;;;;273,21;304,59;288,43;;289,21;298,60;302,97;;;328,15
"04-2015";358,00;347,48;;327,69;348,36;374,85;387,05;376,46;359,39;368,32;368,97;322,81;;;331,28;;;;281,61;316,20;299,90;;300,73;307,46;314,44;;;333,67
"05-2015";370,23;364,35;;347,03;355,92;395,23;402,05;387,92;364,80;394,29;384,57;338,92;;;343,78;;;;277,16;344,30;303,80;;312,41;331,23;348,04;;;349,62
"06-2015";359,61;349,80;;329,65;338,76;368,71;392,77;367,94;359,69;386,10;384,13;356,24;;;352,35;;;;275,42;325,40;309,48;;302,76;318,53;320,03;;;328,42
"07-2015";354,94;347,08;;327,47;345,02;372,24;395,83;368,01;360,28;376,69;383,22;339,27;;;340,84;;;;285,44;332,82;306,53;;293,58;309,38;317,90;;;339,22
"08-2015";342,66;338,79;;320,69;337,42;360,23;386,04;358,00;354,94;372,79;387,83;334,45;;;340,59;;;;283,02;317,52;307,39;;286,36;309,42;305,11;;;325,90
"09-2015";338,28;336,69;;311,20;338,19;362,90;383,21;361,54;356,51;383,10;385,70;319,20;;;335,73;;;;280,26;305,20;299,65;;282,72;298,58;297,07;;;324,69
"10-2015";345,38;339,20;;310,73;338,61;359,66;382,13;357,30;349,93;378,45;380,80;321,72;;;337,42;;;;282,87;306,23;298,17;;285,47;297,78;297,83;;;321,06
"11-2015";377,24;368,59;;321,85;362,19;385,80;399,21;378,91;375,26;391,85;404,62;325,69;;;352,87;;;;291,80;317,86;310,15;;302,14;323,15;323,23;;;337,45
"12-2015";392,93;378,55;;335,87;376,91;394,21;412,12;384,99;387,79;414,12;418,82;351,38;;;357,29;;;;296,82;335,59;316,82;;309,92;327,82;331,20;;;345,84
"12-2015 (1)";398,65;388,47;390,88;335,58;370,49;397,91;418,13;389,02;391,78;424,06;424,39;351,94;363,90;341,77;367,79;346,02;347,47;310,96;305,75;342,72;324,73;324,44;312,46;333,84;314,23;327,49;343,59;354,05
"01-2016";451,76;412,61;423,00;388,45;417,72;448,06;448,31;438,42;398,46;437,24;432,64;374,50;389,93;354,21;405,72;395,31;365,79;341,53;350,73;368,64;349,75;337,32;329,20;344,47;349,26;351,17;375,05;396,39
"02-2016";438,69;387,87;402,57;371,80;400,29;430,56;443,40;401,38;392,75;430,69;416,82;406,86;403,83;385,85;437,86;364,49;359,68;349,22;362,09;387,63;360,66;347,38;331,79;349,96;337,84;355,29;377,93;388,93
"03-2016";444,74;394,04;407,72;378,45;408,84;440,79;444,11;418,18;400,78;441,06;420,90;413,87;375,37;372,52;381,52;376,93;354,29;342,66;349,32;386,30;351,88;342,55;325,98;347,21;348,71;356,56;385,80;378,92
"04-2016";427,68;402,89;402,29;382,16;399,24;433,96;442,42;414,26;396,34;438,56;426,93;412,51;384,82;380,78;383,72;365,75;354,21;343,86;348,24;385,14;365,83;349,78;334,49;358,55;344,29;357,11;378,21;372,31
"05-2016";441,60;401,63;410,09;385,24;408,50;436,02;449,70;418,96;410,05;420,63;443,46;402,97;396,88;378,35;386,08;369,86;360,81;335,31;344,83;375,13;361,39;357,19;337,49;353,78;354,12;360,12;375,64;379,38
"06-2016";448,40;428,73;430,78;421,46;425,82;439,33;469,02;428,69;416,49;463,24;465,03;419,28;409,97;387,44;384,00;392,05;390,22;358,88;376,73;386,78;366,06;368,19;352,12;365,79;365,77;368,49;395,69;397,22
"07-2016";447,36;430,37;442,50;424,47;423,10;448,28;475,27;436,24;420,24;443,11;468,78;416,75;442,83;393,72;404,22;404,27;388,05;371,94;379,29;403,38;387,24;384,75;362,63;374,54;380,03;384,63;400,27;382,05
"08-2016";451,29;440,86;453,10;411,12;429,64;455,45;475,11;436,53;431,14;457,11;474,34;421,33;441,60;405,18;401,50;410,84;395,84;377,16;370,70;410,11;385,83;396,72;365,46;371,60;376,45;386,20;399,73;418,16
